rank,name,attempt1,attempt2,attempt3,attempt4,attempt5,average,best
1,Joshua Feran,1.26,1.17,3.66,1.34,1.17,1.26,1.17
2,Ernie Pulchny,1.15,2.12,1.21,1.79,1.11,1.38,1.11
3,Elijah Brown,1.48,1.33,2.58,1.72,1.47,1.56,1.33
4,Lucas Nieuwland,2.25,1.51,1.48,1.45,1.76,1.58,1.45
5,Owen Chester,1.29,3.39,1.55,1.37,1.90,1.61,1.29
6,Daniel Porter,1.48,1.50,1.39,1.97,2.58,1.65,1.39
7,August Barnard,2.35,1.67,1.71,1.83,1.60,1.74,1.60
8,Currin Wilson,1.80,4.42,1.76,1.69,1.68,1.75,1.68
9,Caleb Trelford,1.76,1.80,1.83,1.91,1.98,1.85,1.76
10,Aedan Bryant,1.60,1.59,2.92,1.71,2.44,1.92,1.59
11,Katie Hull,2.13,2.00,1.79,1.94,1.85,1.93,1.79
12,Daniel Mullen,1.87,1.77,3.96,2.25,1.96,2.03,1.77
13,Simone Ohler ,1.91,DNF,1.77,1.84,2.46,2.07,1.77
14,Nathan Rahn,38.99,3.37,1.29,1.57,1.23,2.08,1.23
15,Carter Bitz,2.60,3.10,1.75,1.95,1.65,2.10,1.65
16,Shane Grogan,6.28,3.11,1.50,1.37,1.77,2.13,1.37
17,Jacob Ambrose ,2.20,2.56,1.94,1.74,2.32,2.15,1.74
18,Brandon Lin,3.18,1.96,1.56,3.31,1.38,2.23,1.38
19,Ethan Davis,2.07,3.20,2.68,1.93,1.93,2.23,1.93
20,CJ Dresdner,2.11,2.17,2.36,2.41,3.87,2.31,2.11
21,Annye Bennett,2.34,2.28,2.34,2.09,3.26,2.32,2.09
22,Edward Hollingdale ,2.08,2.02,3.28,2.25,2.85,2.39,2.02
23,Laura Plourde,2.06,2.76,2.36,DNF,1.92,2.39,1.92
24,Mason Langenderfer,2.92,2.08,1.95,2.36,3.01,2.45,1.95
25,Dan Pastushkov,2.92,DNF,2.72,1.67,1.78,2.47,1.67
26,Matthew Dickman,2.08,2.73,2.41,2.30,2.76,2.48,2.08
27,Chris Nankervis,4.16,3.02,2.06,2.68,2.01,2.59,2.01
28,Nathaniel Gee,2.40,1.83,1.72,9.52,3.58,2.60,1.72
29,Hunter Coleman,1.48,3.65,3.63,2.05,2.17,2.62,1.48
30,Blake Thompson,1.31,1.95,2.75,DNF,3.23,2.64,1.31
31,Zach Calin,1.96,2.86,3.02,3.49,2.24,2.71,1.96
32,Jan Bentlage ,3.17,1.71,1.79,3.79,3.22,2.73,1.71
33,Caleb Yao,DNF,2.17,1.55,3.28,2.82,2.76,1.55
34,Justin Sui,2.33,DNF,2.08,2.30,3.65,2.76,2.08
35,Lucas Garron,3.07,2.93,2.44,2.40,DNF,2.81,2.40
36,Eliana Ozsvath ,3.98,2.79,2.40,2.74,2.97,2.83,2.40
37,Panashe Sharma,3.41,2.89,2.19,2.31,3.93,2.87,2.19
38,William Klauer,3.46,36.67,2.54,2.63,3.06,3.05,2.54
39,Arjun Srinath,2.07,3.92,2.23,5.16,3.07,3.07,2.07
40,Caiti Howe,2.90,3.07,3.23,DNF,2.86,3.07,2.86
41,Jared Stinson,3.60,2.77,4.52,2.86,2.79,3.08,2.77
42,Brayden Wroten,4.90,3.19,4.15,2.18,1.84,3.17,1.84
43,Stone Amsbaugh,5.10,3.48,3.81,2.40,2.44,3.24,2.40
44,Xavier Ye,5.39,3.36,4.37,2.15,2.38,3.37,2.15
45,Peter Still,3.11,4.11,3.23,5.81,2.94,3.48,2.94
46,Nathan Phillips,2.68,2.14,3.98,4.41,3.93,3.53,2.14
47,Livia Kleiner,3.52,3.70,3.44,3.39,3.84,3.55,3.39
48,Zachary Ridall,3.21,3.23,2.42,5.13,4.43,3.62,2.42
49,Alison Meador,3.58,4.12,5.12,3.58,3.26,3.76,3.26
50,Alex Maass,6.77,2.29,7.10,2.16,2.25,3.77,2.16
51,Cady Shields,4.48,3.79,2.18,3.09,6.04,3.79,2.18
52,Michael Conard,5.13,7.34,2.38,2.87,3.49,3.83,2.38
53,Sam Richard ,DNF,5.22,3.78,3.40,3.08,4.13,3.08
54,Erik Swanson,5.62,4.27,3.69,4.33,3.87,4.16,3.69
55,Brandon Buchalter,3.77,3.64,4.75,3.99,5.19,4.17,3.64
56,Lucas Stambaugh,4.00,5.13,3.48,2.69,5.49,4.20,2.69
57,Miles Reavis ,4.13,5.63,3.94,4.81,4.02,4.32,3.94
58,Junior Solis,5.52,6.01,5.60,4.99,4.04,5.37,4.04
59,Magnius Cikotas,DNF,6.17,2.47,2.44,8.00,5.55,2.44
60,Michael K. Lee,5.57,6.76,11.00,6.78,5.91,6.48,5.57
61,Mariana Lee,7.97,6.26,7.68,5.91,7.11,7.02,5.91
62,John Wanger II,7.54,7.88,8.57,8.08,6.74,7.83,6.74
63,Dylan Cossin,DNF,10.58,8.28,8.41,7.89,9.09,7.89
64,Braden Richards,8.75,11.39,10.30,9.20,5.07,9.42,5.07
65,Patrick Kleverlaan,1.98,3.31,30.46,5.71,DNF,13.16,1.98
66,Brayden Adams,17.71,16.90,13.19,9.05,9.45,13.18,9.05
67,Jack Pfeifer,12.62,17.21,DNF,8.47,DNF,DNF,8.47
68,Jaylen Daley,2.54,DNF,2.30,3.25,DNF,DNF,2.30
69,Lucas Lippman-Bruno,4.26,DNF,2.23,DNF,DNF,DNF,2.23
70,Taj Bressert,DNF,2.61,DNF,4.37,5.05,DNF,2.61
