rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007PROV01,Frank Provoost,46.770,42.470,-2,-2,-2,42.470,-2
2,2009JACK01,Sebastian Jack,53.970,45.020,-2,-2,-2,45.020,-2
3,2008ZIMM01,Monika Zimmermann,64.800,-1,-2,-2,-2,64.800,-2
4,2009FRAN01,Daniel Franzen,85.280,72.050,-2,-2,-2,72.050,-2
5,2008BLOH02,Robin Blöhm,84.400,-1,-2,-2,-2,84.400,-2
6,2010DAOV01,Huy Dao,115.680,110.440,-2,-2,-2,110.440,-2
7,2007ORTR01,Raffael Ort,114.180,179.770,-2,-2,-2,114.180,-2
8,2009PAES01,Caroline Paeßens,169.030,263.060,-2,-2,-2,169.030,-2
9,2006PIRZ01,Markus Pirzer,429.720,207.060,-2,-2,-2,207.060,-2
10,2010HARS01,Felix Harst,236.330,380.610,-2,-2,-2,236.330,-2
11,2008PROV01,Anja Provoost,305.280,370.650,-2,-2,-2,305.280,-2
