rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
12,2009RUFF01,Arthur Ruffie,58.970,57.630,68.960,46.550,61.780,46.550,59.460
11,2009KOUR01,Mickaël Kourganoff,67.460,59.280,48.150,50.610,72.110,48.150,59.120
10,2009DEBL01,Adrien Debly,62.710,56.380,56.470,84.440,58.030,56.380,59.070
9,2009RUFF02,Lucie Ruffie,43.380,51.110,38.660,79.710,47.960,38.660,47.480
8,2009PETI01,Loïc Petit,26.410,26.690,28.780,23.970,29.460,23.970,27.290
7,2008GYAN01,Jason Gyani,26.300,27.210,27.650,23.970,22.660,22.660,25.830
6,2004GALL02,Clément Gallet,27.630,20.030,26.460,27.940,21.090,20.030,25.060
5,2007LEMO01,Laetitia Lemoine,24.660,26.360,21.000,26.710,22.130,21.000,24.380
4,2008LEME01,Pierre Lemerle,18.910,24.280,25.960,23.430,20.310,18.910,22.670
1,2008HANK01,Kanneti Sae Han,15.150,23.050,17.130,15.580,14.710,14.710,15.950
2,2008LAUR01,Mario Laurent,16.690,21.680,18.460,19.830,19.340,16.690,19.210
3,2008VIRO01,Philippe Virouleau,16.380,20.560,22.030,18.810,19.660,16.380,19.680
