rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2010DEIM01,Maximilian Deimel,50.680,34.750,28.060,-2,-2,28.060,37.830
2,2009KORB02,Lasse Korbanka,41.080,39.890,30.300,-2,-2,30.300,37.090
3,2010HAFN01,Sebastian Häfner,35.630,35.020,35.470,-2,-2,35.020,35.370
4,2010HUFN01,Tassilo Hufnagel,39.410,49.690,70.110,-2,-2,39.410,53.070
5,2010ASEN01,Matthias Aßenmacher,39.770,40.680,42.970,-2,-2,39.770,41.140
6,2010GABR01,Kai Gabriel,43.280,39.800,43.900,-2,-2,39.800,42.330
7,2008AURO01,Sébastien Auroux,85.800,50.190,76.880,-2,-2,50.190,70.960
8,2009ROHR01,Michael Röhrer,51.550,80.800,86.020,-2,-2,51.550,72.790
9,2010OLSC01,Max Olschok,53.360,58.690,-1,-2,-2,53.360,-1
10,2010DAOH01,Huy Dao,54.530,78.770,57.380,-2,-2,54.530,63.560
11,2010MILL01,Thomas Millen,55.060,75.940,70.130,-2,-2,55.060,67.040
12,2010STAU01,Wolfgang Stauber,63.900,55.800,83.380,-2,-2,55.800,67.690
13,2010HOMM01,Jascha Hommel,77.470,58.610,58.380,-2,-2,58.380,64.820
14,2010ENGL03,Adrian Englhardt,62.720,117.410,-2,-2,-2,62.720,-2
15,2009HERZ01,Florian Herzog,135.310,63.460,-2,-2,-2,63.460,-2
16,2009BALT02,Leandro Baltazar,83.630,66.120,-2,-2,-2,66.120,-2
17,2009BRUS01,Berit Brüster,69.840,74.500,-2,-2,-2,69.840,-2
18,2009SIMO01,Thomas Simonis,88.090,69.970,-2,-2,-2,69.970,-2
19,2010SCHM01,Leon Schmidtchen,72.550,82.380,-2,-2,-2,72.550,-2
20,2010WING01,Torsten Wingen,133.000,77.820,-2,-2,-2,77.820,-2
21,2010DEIM02,Sebastian Deimel,80.130,144.400,-2,-2,-2,80.130,-2
22,2009BLUM01,Johannes Blum,82.430,109.650,-2,-2,-2,82.430,-2
23,2010WIMM01,Johannes Wimmer,87.810,141.360,-2,-2,-2,87.810,-2
24,2009SPIE01,Niklas Spies,156.160,91.460,-2,-2,-2,91.460,-2
25,2009AURO01,Fabian Auroux,101.860,110.360,-2,-2,-2,101.860,-2
26,2009HERR01,Jan Herrmann,229.770,-2,-2,-2,-2,229.770,-2
27,2010PATZ01,Moritz Patzelt,-1,-2,-2,-2,-2,-1,-2
27,2010PASS01,Marcel Passon,-1,-1,-2,-2,-2,-1,-2
