rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2006BUUS01,Henrik Buus Aagaard,54.750,-2,-2,-2,-2,54.750,-2
2,2008ANDE02,Oscar Roth Andersen,63.110,-2,-2,-2,-2,63.110,-2
3,2010THOM01,Mads Thomassen,71.770,-2,-2,-2,-2,71.770,-2
4,2009SEVE01,Frank Severinsen,72.080,-2,-2,-2,-2,72.080,-2
5,2007CHRI02,Mads Mohr Christensen,73.340,-2,-2,-2,-2,73.340,-2
6,2010DYBD01,Andreas Dybdahl,82.770,-2,-2,-2,-2,82.770,-2
7,2010BECK01,Karina Grandjean Beck,91.270,-2,-2,-2,-2,91.270,-2
8,2010UNDE01,Mads Larsen Underbjerg,109.280,-2,-2,-2,-2,109.280,-2
9,2006BUUS02,Kirstine Buus Aagaard,120.300,-2,-2,-2,-2,120.300,-2
10,2009JENS03,Lennart Jensen,132.750,-2,-2,-2,-2,132.750,-2
11,2009KRIS02,Martin Kristensen,152.780,-2,-2,-2,-2,152.780,-2
