rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005AKKE01,Erik Akkersdijk,10.300,11.660,25.430,11.250,10.860,10.300,11.260
2,2005ASPE01,Lennart Aspelin,12.940,8.830,12.030,7.930,25.840,7.930,11.270
3,2005VANH01,Anssi Vanhala,13.000,8.750,12.970,10.430,11.960,8.750,11.790
4,2004KRIG01,Gunnar Krig,11.180,12.690,15.780,10.250,14.060,10.250,12.640
5,2004CHAM01,Edouard Chambon,14.150,15.280,13.900,-1,13.020,13.020,14.440
6,2006JOHA01,Erik Johansson,24.830,6.410,13.150,14.580,20.800,6.410,16.180
7,2006GALE01,Arnaud van Galen,24.610,22.800,47.780,24.690,21.560,21.560,24.030
8,2006ASPE01,Malin Aspelin,31.310,15.280,25.860,18.720,32.160,15.280,25.300
9,2007HOLM01,Johan Holmedahl,40.270,46.180,39.560,47.150,32.520,32.520,42.000
10,2003LARS01,Anders Larsson,63.400,29.610,55.910,33.710,57.810,29.610,49.140
11,2007CLAE01,Magnus Claesson,96.960,-1,81.970,60.380,65.580,60.380,81.500
12,2005GUST01,Kenneth Gustavsson,-1,20.220,-1,21.340,-1,20.220,-1
