rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,88.720,-2,-2,-2,-2,88.720,-2
2,2007HOLM01,Johan Holmedahl,91.220,-2,-2,-2,-2,91.220,-2
3,2008SEPP01,Ville Seppänen,93.500,-2,-2,-2,-2,93.500,-2
4,2007GOUL01,Joey Gouly,96.910,-2,-2,-2,-2,96.910,-2
5,2007LUND01,Daniel Lundwall,106.910,-2,-2,-2,-2,106.910,-2
6,2003VAND01,Lars Vandenbergh,125.970,-2,-2,-2,-2,125.970,-2
7,2007KRIS01,Tomas Kristiansson,143.680,-2,-2,-2,-2,143.680,-2
8,2006JOHA01,Erik Johansson,157.360,-2,-2,-2,-2,157.360,-2
9,2005ASPE01,Lennart Aspelin,209.800,-2,-2,-2,-2,209.800,-2
10,2007CLAE02,Marlene Claesson,258.750,-2,-2,-2,-2,258.750,-2
11,2006ASPE01,Malin Aspelin,303.720,-2,-2,-2,-2,303.720,-2
