rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007HOLM02,Tommy Holm,2.930,3.150,5.030,5.860,2.940,2.930,3.710
2,2005GUST01,Kenneth Gustavsson,4.690,-1,3.580,4.410,4.430,3.580,4.510
3,2009SERT01,Kadir Sertcanli,4.690,4.940,4.970,5.430,5.210,4.690,5.040
4,2008RUND01,Johannes Rundberg,6.690,5.660,5.770,20.180,6.650,5.660,6.370
5,2007CLAE02,Marlene Claesson,6.130,10.030,10.190,7.470,8.940,6.130,8.810
6,2008NORD01,Tommy Nordlander,9.810,7.380,9.460,-1,7.150,7.150,8.880
7,2007RUND01,Jonas Rundberg,8.150,9.400,9.840,6.280,19.710,6.280,9.130
8,2008LUND04,Mattias Lundberg,18.410,11.550,11.780,14.280,-1,11.550,14.820
9,2008RUND02,Oscar Rundberg,14.360,14.240,15.190,15.360,15.210,14.240,14.920
10,2005GUST02,Tommy Gustavsson,26.560,26.340,16.520,56.020,49.630,16.520,34.180
11,2007KOLL01,Mats Kollbrink,75.190,50.380,24.020,25.630,41.470,24.020,39.160
12,2007HOLM01,Johan Holmedahl,17.190,-1,9.840,18.900,-1,9.840,-1
