rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,22.080,18.750,19.250,15.840,15.080,15.080,17.950
2,2006BUUS01,Henrik Buus Aagaard,21.590,18.380,17.150,17.830,17.940,17.150,18.050
3,2007HOLM01,Johan Holmedahl,19.020,17.930,21.940,17.500,17.470,17.470,18.150
4,2007CLAE03,Mattias Claesson,21.000,19.910,20.590,17.340,23.210,17.340,20.500
5,2007PERG01,Olivér Perge,21.780,16.650,19.610,21.430,21.710,16.650,20.920
6,2007GOUL01,Joey Gouly,22.960,32.770,19.720,21.190,18.330,18.330,21.290
7,2005GAIN01,Mark Gaines,18.750,24.060,24.840,19.720,23.220,18.750,22.330
8,2008WEST02,Simon Westlund,23.080,21.690,22.210,25.080,18.860,18.860,22.330
9,2007LUND01,Daniel Lundwall,23.440,24.710,15.470,30.150,22.280,15.470,23.480
10,2006SOUC01,Aurélien Souchet,23.410,21.650,28.660,30.800,24.520,21.650,25.530
11,2006JOHA01,Erik Johansson,27.750,19.680,25.280,25.440,28.060,19.680,26.160
12,2008DELV01,Simon Delvert,31.190,23.360,23.930,-1,23.410,23.360,26.180
13,2007CLAE01,Magnus Claesson,27.810,29.250,33.610,26.750,23.460,23.460,27.940
14,2008SORM01,Simon Sörman,29.030,28.330,31.590,30.580,31.460,28.330,30.360
15,2007HOLM02,Tommy Holm,29.910,30.340,29.220,41.960,32.000,29.220,30.750
16,2007CHRI02,Mads Mohr Christensen,30.080,37.530,33.340,31.340,34.630,30.080,33.100
17,2005GUST01,Kenneth Gustavsson,28.460,33.770,36.220,32.110,39.940,28.460,34.030
18,2005GUST02,Tommy Gustavsson,32.880,36.830,32.840,31.030,37.580,31.030,34.180
19,2008SKAR01,Arvid Skarrie,42.590,37.090,29.250,33.770,36.400,29.250,35.750
20,2008KJOR01,Adam Kjörk,37.630,43.090,34.940,31.720,36.180,31.720,36.250
21,2007MOLI01,Annica Molin,39.720,33.750,50.840,39.520,35.440,33.750,38.230
22,2007CLAE02,Marlene Claesson,39.030,50.120,38.590,38.610,38.000,38.000,38.740
23,2008ERDA01,Jonatan Erdal,38.750,42.310,39.840,40.340,43.340,38.750,40.830
24,2008WING03,Gustaf Wingren,49.080,42.400,53.000,46.730,46.910,42.400,47.570
25,2007KOLL01,Mats Kollbrink,43.680,73.250,42.770,41.270,58.780,41.270,48.410
26,2008BERG03,Malin Bergvall,54.410,70.090,64.160,67.530,54.110,54.110,62.030
27,2008ROUR01,Nicolas Roure,54.300,131.900,69.810,64.150,60.780,54.300,64.910
28,2005TYLM01,Mikael Tylmad,59.250,54.160,45.280,82.000,-1,45.280,65.140
29,2007RUND01,Jonas Rundberg,55.910,69.060,95.130,75.380,65.380,55.910,69.940
30,2006JOHA02,Örjan Johansson,76.180,78.800,124.830,70.030,75.080,70.030,76.690
31,2008STAH01,Karl Ståhl,70.460,84.930,75.800,94.050,85.500,70.460,82.080
