rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,51.500,-2,-2,-2,-2,51.500,-2
2,2007GOUL01,Joey Gouly,51.680,-2,-2,-2,-2,51.680,-2
3,2007HOLM01,Johan Holmedahl,55.330,-2,-2,-2,-2,55.330,-2
4,2006BUUS01,Henrik Buus Aagaard,57.690,-2,-2,-2,-2,57.690,-2
5,2007LUND01,Daniel Lundwall,59.250,-2,-2,-2,-2,59.250,-2
6,2007PERG01,Olivér Perge,63.840,-2,-2,-2,-2,63.840,-2
7,2005GAIN01,Mark Gaines,66.970,-2,-2,-2,-2,66.970,-2
8,2008WEST02,Simon Westlund,71.400,-2,-2,-2,-2,71.400,-2
9,2006JOHA01,Erik Johansson,71.430,-2,-2,-2,-2,71.430,-2
10,2006SOUC01,Aurélien Souchet,79.210,-2,-2,-2,-2,79.210,-2
11,2007CLAE01,Magnus Claesson,85.270,-2,-2,-2,-2,85.270,-2
12,2007HOLM02,Tommy Holm,93.930,-2,-2,-2,-2,93.930,-2
13,2008DELV01,Simon Delvert,95.680,-2,-2,-2,-2,95.680,-2
14,2008SKAR01,Arvid Skarrie,96.930,-2,-2,-2,-2,96.930,-2
15,2008KJOR01,Adam Kjörk,97.590,-2,-2,-2,-2,97.590,-2
16,2007CHRI02,Mads Mohr Christensen,101.310,-2,-2,-2,-2,101.310,-2
17,2005GUST02,Tommy Gustavsson,103.750,-2,-2,-2,-2,103.750,-2
18,2005GUST01,Kenneth Gustavsson,110.900,-2,-2,-2,-2,110.900,-2
19,2007MOLI01,Annica Molin,132.340,-2,-2,-2,-2,132.340,-2
20,2007CLAE02,Marlene Claesson,134.630,-2,-2,-2,-2,134.630,-2
21,2007RUND01,Jonas Rundberg,178.860,-2,-2,-2,-2,178.860,-2
22,2007CLAE03,Mattias Claesson,-1,-2,-2,-2,-2,-1,-2
