rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005GUST01,Kenneth Gustavsson,6.860,5.050,5.310,5.590,5.150,5.050,5.350
2,2007CLAE02,Marlene Claesson,6.940,5.500,11.090,8.530,7.590,5.500,7.690
3,2007RUND01,Jonas Rundberg,8.190,7.690,6.900,-1,8.130,6.900,8.000
4,2008RUND01,Johannes Rundberg,6.880,10.270,7.860,7.020,-1,6.880,8.380
5,2006SOUC01,Aurélien Souchet,19.660,10.000,7.750,6.360,7.830,6.360,8.530
6,2007BERG01,David Bergling,14.250,7.340,7.380,10.020,10.060,7.340,9.150
7,2006BUUS01,Henrik Buus Aagaard,5.960,6.840,15.520,-1,7.220,5.960,9.860
8,2008WEST02,Simon Westlund,-1,6.560,6.080,8.780,21.050,6.080,12.130
9,2007HOLM01,Johan Holmedahl,12.560,17.710,14.650,10.720,14.050,10.720,13.750
10,2006JOHA01,Erik Johansson,23.900,15.900,23.160,44.500,22.440,15.900,23.170
11,2005GUST02,Tommy Gustavsson,20.770,30.360,40.910,-1,22.970,20.770,31.410
