rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007NESS01,Christopher Ness,65.500,-2,-2,-2,-2,65.500,-2
2,2009YAUR01,Robert Yau,106.690,-2,-2,-2,-2,106.690,-2
3,2009KENT01,Tan Wei Ken,141.080,-2,-2,-2,-2,141.080,-2
4,2007PERG01,Olivér Perge,147.180,-2,-2,-2,-2,147.180,-2
5,2008WRIG02,Jude Wright,151.940,-2,-2,-2,-2,151.940,-2
6,2007COOP01,Charlie Cooper,157.940,-2,-2,-2,-2,157.940,-2
7,2009HARP01,Peter Harpham,178.210,-2,-2,-2,-2,178.210,-2
8,2003BRUC01,Ron van Bruchem,183.800,-2,-2,-2,-2,183.800,-2
9,2009WHIT01,Ben Whitmore,196.750,-2,-2,-2,-2,196.750,-2
10,2006AUST01,Greg Austin,213.460,-2,-2,-2,-2,213.460,-2
11,2008WILL03,Adam Wills,291.600,-2,-2,-2,-2,291.600,-2
12,2008ERSK01,Michael Erskine,312.650,-2,-2,-2,-2,312.650,-2
13,2008COUR01,François Courtès,330.470,-2,-2,-2,-2,330.470,-2
14,2008MCKE01,Richard McKearney,461.600,-2,-2,-2,-2,461.600,-2
15,2003VAND01,Lars Vandenbergh,466.290,-2,-2,-2,-2,466.290,-2
16,2006GALE01,Arnaud van Galen,-1,-2,-2,-2,-2,-1,-2
16,2009POWE04,Thom Power,-1,-2,-2,-2,-2,-1,-2
16,2009LUDL02,James Dean Ludlow,-1,-2,-2,-2,-2,-1,-2
16,2009LUDL01,Brett Ludlow,-1,-2,-2,-2,-2,-1,-2
16,2007GOUL01,Joey Gouly,-1,-2,-2,-2,-2,-1,-2
